 Teaching Research Citations Industry_Income International_Outlook
"Chalmers University of Technology" 36.1 42.1 60.0 74.1 good
"Alfaisal University" 19.6 21.2 95.0 50.4 bad
"Curtin University" 23.4 30.4 83.2 44.8 good
"Queen�s University" 41.5 37.8 62.6 65.7 good
"Sapienza University of Rome" 40.4 40.0 69.8 43.6 good
"University of Cincinnati" 35.5 30.8 83.9 39.4 good
"University of Surrey" 30.2 34.3 71.9 46.8 good
"Tohoku University" 52.7 54.4 39.8 86.4 good
"University at Buffalo" 37.2 32.7 73.8 42.1 good
"Auckland University of Technology" 19.7 18.4 98.0 36.7 bad
"�cole des Ponts ParisTech" 39.9 24.5 73.1 57.5 good
"Oregon Health and Science University" 35.7 16.7 99.7 47.6 good
"University of S�o Paulo" 56.4 54.0 40.6 39.9 good
"Swansea University" 21.3 24.1 93.3 36.8 good
"Dalhousie University" 27.7 29.6 79.5 44.4 good
"Flinders University" 22.5 29.9 84.4 37.7 good
"University of Navarra" 30.4 27.9 80.3 85.5 good
"University of Potsdam" 36.8 40.8 65.2 56.2 good
"University of Essex" 31.6 34.3 68.6 35.0 good
"Laval University" 40.1 31.8 67.6 59.6 good
"Medical University of Innsbruck" 30.5 14.2 89.1 51.5 good
"Simon Fraser University" 24.1 35.5 75.3 47.0 good
"Florida State University" 38.0 40.1 69.2 39.4 good
"University of Kiel" 30.6 27.5 86.8 34.4 good
"University of Bath" 28.6 31.1 75.7 37.5 good
"Ruhr University Bochum" 39.7 45.0 57.9 54.5 good
"University of Southern Denmark" 21.4 28.1 85.1 69.7 good
"George Mason University" 29.9 26.3 89.5 35.8 good
"Macau University of Science and Technology" 27.1 22.4 83.0 34.8 good
"Royal Holloway, University of London" 30.6 30.2 73.4 37.1 good
"Tampere University" 26.4 34.7 81.8 52.6 good
"Western Sydney University" 23.5 29.1 82.8 40.4 good
"Autonomous University of Madrid" 40.1 28.7 74.5 38.6 good
"University of Oregon" 34.0 29.3 83.7 34.7 good
"La Trobe University" 27.1 33.1 73.3 51.3 good
"Technical University of Darmstadt" 42.4 44.2 50.4 89.5 good
"University of Oulu" 30.3 34.4 76.4 43.0 good
"Brighton and Sussex Medical School" 15.9 19.9 100.0 34.4 
"University of Stuttgart" 41.8 45.4 52.4 61.1 good
"Syracuse University" 35.1 29.6 78.1 35.3 good
"University of Delaware" 28.5 38.2 71.5 90.6 good
"Heriot-Watt University" 28.4 26.7 75.2 42.0 good
"Stellenbosch University" 29.5 34.6 74.4 59.1 good
"National University of Ireland, Galway" 27.1 29.9 76.3 42.4 good
"Sun Yat-sen University" 43.6 35.8 63.5 56.4 good
"Tokyo Institute of Technology" 51.2 51.8 37.4 69.3 good
"Anglia Ruskin University" 17.9 14.4 99.9 35.1 
"Indian Institute of Science" 58.6 55.3 32.4 57.1 good
"University of New Mexico (Main campus)" 29.2 31.8 83.6 37.4 good
"Stony Brook University" 34.4 23.5 77.0 36.1 good
"University of Fribourg" 31.8 32.4 64.7 54.1 good
"Goethe University Frankfurt" 31.7 29.5 75.6 43.2 good
"Johannes Gutenberg University of Mainz" 35.2 22.6 77.4 68.9 good
"University of Macau" 32.3 32.6 61.9 41.0 good
"University of Trento" 27.7 31.7 77.8 41.5 good
"North Carolina State University" 36.7 35.3 64.7 43.2 good
"University of Newcastle" 24.5 28.3 76.6 49.9 good
"Temple University" 39.3 23.5 79.3 34.4 good
"Huazhong University of Science and Technology" 41.0 39.1 59.8 90.4 good
"Nova Southeastern University" 33.8 10.3 99.5 34.4 good
"Swedish University of Agricultural Sciences" 31.1 29.5 73.5 94.8 good
"United Arab Emirates University" 23.7 19.1 84.7 43.3 good
"Nagoya University" 47.8 47.8 43.4 76.8 good
"Southern University of Science and Technology (SUSTech)" 23.9 23.5 85.3 70.5 good
"University of Klagenfurt" 25.3 16.5 86.5 37.2 good
"Kyung Hee University" 33.8 40.5 56.4 84.9 good
"University of Tartu" 26.8 27.1 82.4 37.5 good
"University of Texas at Dallas" 23.7 29.3 82.1 39.9 good
"Boston College" 36.7 33.7 69.2 34.4 good
"University of Malaya" 41.6 30.5 56.6 48.1 good
"University of Marburg" 33.8 29.1 73.4 39.1 good
"Maynooth University" 20.3 29.8 80.3 37.3 good
"Tulane University" 42.3 24.1 72.7 37.0 good
"Cyprus University of Technology" 17.2 16.3 98.0 35.3 
"Aix-Marseille University" 41.3 25.3 67.1 36.8 good
"Grenoble Alpes University" 34.0 30.4 69.7 36.0 good
"University of Li�ge" 27.6 38.2 60.5 95.9 good
"Deakin University" 23.8 29.6 73.5 40.6 good
"Reykjav�k University" 14.4 18.2 100.0 36.5 bad
"The University of Tennessee-Knoxville" 32.9 23.4 80.3 43.9 
"Jacobs University" 40.6 33.2 50.7 55.1 good
"University of Canterbury" 24.3 27.2 72.7 38.5 good
"University of Milan" 35.9 28.9 72.2 37.7 good
"Rush University" 37.2 12.9 92.1 41.3 good
"Beijing Normal University" 46.5 39.6 48.6 57.1 good
"Ume� University" 23.5 28.5 79.1 36.2 good
"Universit� della Svizzera Italiana" 24.6 21.9 74.6 44.0 good
"University College Cork" 24.9 23.1 77.5 44.5 good
"Colorado School of Mines" 30.1 25.1 79.6 46.6 good
"Osaka University" 51.5 49.0 34.6 63.0 good
"Montpellier University" 36.3 27.1 67.1 37.3 good
"University of Tasmania" 26.0 33.7 63.0 50.1 good
"Polytechnic University of Milan" 33.1 35.2 59.6 72.5 good
"Indian Institute of Technology Ropar" 28.1 12.8 100.0 36.2 good
"Victoria University" 24.0 26.0 75.3 42.8 good
"University of Denver" 40.5 22.3 75.4 35.8 good
"State University of New York Albany" 24.0 35.4 72.8 40.1 good
"University of Stirling" 23.6 25.3 75.5 35.2 good
"Wayne State University" 33.3 18.1 83.3 45.4 good
"University of California, Merced" 17.1 21.6 95.3 38.0 bad
"TU Dortmund University" 37.6 41.4 54.2 45.8 good
"University of Turku" 27.1 30.8 73.5 37.3 good
"Wuhan University" 44.0 34.0 52.5 84.7 good
"Universit� de Versailles Saint-Quentin-en-Yvelines" 17.3 21.1 89.9 35.4 bad
"Washington State University" 30.7 28.6 71.8 48.4 good
"University of Bremen" 36.9 36.1 56.0 49.0 good
"Vienna University of Technology" 38.4 36.8 45.5 63.7 good
"Birkbeck, University of London" 27.6 31.5 62.8 34.5 good
"Khalifa University" 27.7 32.9 54.0 100.0 good
"University of Kent" 24.1 28.4 67.9 35.0 good
"National Tsing Hua University" 35.4 46.2 50.1 64.8 good
"Goldsmiths, University of London" 33.8 28.6 60.4 35.1 good
"University of Iceland" 19.5 30.0 75.0 62.7 bad
"Nankai University" 35.7 21.8 75.8 41.5 good
"University of Pisa" 31.2 26.5 74.3 40.5 good
"Taipei Medical University" 28.7 31.8 67.9 94.9 good
"University of Salerno" 20.2 19.5 94.0 37.3 good
"University of Manitoba" 28.0 30.8 69.9 36.5 good
"Oregon State University" 30.9 30.1 67.2 37.7 good
"University of Crete" 17.7 20.1 91.4 38.7 bad
"Hasselt University" 28.3 38.1 56.6 49.7 good
"Loughborough University" 33.8 34.3 52.9 39.0 good
"University of Occupational and Environmental Health, Japan" 26.9 9.6 99.8 40.2 good
"Babol Noshirvani University of Technology" 15.3 21.2 99.8 42.2 bad
"University of Bayreuth" 34.7 34.5 55.8 59.9 good
"Brunel University London" 26.9 26.9 63.2 36.8 good
